"";"BirdId";"Area";"MS";"TA";"BH";"LogitH";"LogitB";"HT";"HT2";"YP";"SY";"CL";"LogitSurvWS";"U_perVolBlood";"Cort";"Cho_perVolBlood";"DS";"AgeN";"SexN";"Sex";"Age";"SeenF";"Seen";"Area_Model";"Area1";"nHT";"nHT2";"nBH";"nDS"
"398";"10492";"Prunjepolder, Oosterschelde";493;98;3,099999905;-0,324432464622207;-5,14194199208041;0,1;0,01;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;7,508868023;NA;79;3;1;"F";"Adult";"0";0;"D";1;-0,848685043602166;-0,864160254421094;-1,2027315319308;-0,988380048067788
"399";"10475";"Prunjepolder, Oosterschelde";NA;103;5,5;NA;NA;0,102777778;0,0105632716506173;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;26,16168395;NA;79;3;1;"F";"Adult";"1";1;"D";1;-0,808040842203902;-0,839343166556614;1,17038753837483;-0,988380048067788
"400";"10497";"Prunjepolder, Oosterschelde";585;98;5,199999809;NA;NA;0,10625;0,0112890625;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;31,83136356;NA;79;3;1;"F";"Adult";"0";0;"D";1;-0,757235597772028;-0,807365673528823;0,873747477467905;-0,988380048067788
"401";"10496";"Prunjepolder, Oosterschelde";552;98;5;-0,241994824122365;-5,21602212466978;0,107638889;0,0115861304251543;2;"2017_2018";"Oosterschelde";2,43187440190775;0,544334793168467;10,91400572;14,2392214106983;79;3;2;"M";"Adult";"0";0;"D";1;-0,736913497072896;-0,794277209388662;0,67598775163115;-0,988380048067788
"402";"10557";"Prunjepolder, Oosterschelde";557;98;5,699999809;-0,26733107821698;-4,85463104599592;0,200694444;0,0402782598524691;2;"2017_2018";"Oosterschelde";2,43187440190775;0,563803177846736;6,765665692;11,8130189644078;79;3;2;"M";"Adult";"1";1;"D";1;0,62466713271366;0,469864339784596;1,36814726421159;-0,988380048067788
"403";"10565";"Prunjepolder, Oosterschelde";468;91;3,400000095;-0,360993769801321;-5,18445520566841;0,202083333;0,0408376734763889;2;"2017_2018";"Oosterschelde";2,43187440190775;0,745234090891375;13,25946633;13,0201818178723;79;3;1;"F";"Adult";"0";0;"D";1;0,644989233412792;0,494511447520605;-0,90609147201267;-0,988380048067788
"404";"10555";"Prunjepolder, Oosterschelde";497;98;4,199999809;NA;NA;0,202777778;0,0411188272506173;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;8,449791212;NA;79;3;2;"M";"Adult";"0";0;"D";1;0,655150291078313;0,506898752847989;-0,115052096019458;-0,988380048067788
"405";"10554";"Prunjepolder, Oosterschelde";532;98;6;-0,261258574967437;-4,98497554744456;0,203472222;0,0414009451256173;2;"2017_2018";"Oosterschelde";2,43187440190775;0,634235637749311;9,771612039;12,0038948387581;79;3;2;"M";"Adult";"0";0;"D";1;0,665311334111924;0,519328535323892;1,66478732511851;-0,988380048067788
"406";"10553";"Prunjepolder, Oosterschelde";558;97;4,800000191;NA;NA;0,206944444;0,0428260029024691;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;6,66494898;NA;79;3;2;"M";"Adult";"1";1;"D";1;0,716116578543798;0,582114908508725;0,478228025794396;-0,988380048067788
"407";"10552";"Prunjepolder, Oosterschelde";525;98;4,699999809;-0,234285727888398;-4,89566081022627;0,207638889;0,0431139082251543;2;"2017_2018";"Oosterschelde";2,43187440190775;0,998399775404866;11,39305814;15,9743964064779;79;3;1;"F";"Adult";"1";1;"D";1;0,72627763620932;0,594799679137425;0,379347690724224;-0,988380048067788
"408";"10551";"Prunjepolder, Oosterschelde";567;99;5,199999809;NA;NA;0,209722222;0,0439834104006173;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;8,296665955;NA;79;3;1;"F";"Adult";"1";1;"D";1;0,756760779942063;0,633108924531142;0,873747477467905;-0,988380048067788
"410";"10531";"Prunjepolder, Oosterschelde";524;94;4;-0,242352559196949;-4,51140880652494;0,213194444;0,0454518709524691;2;"2017_2018";"Oosterschelde";2,43187440190775;0,706186851268496;5,541405256;15,2885813161221;79;3;1;"F";"Adult";"0";0;"D";1;0,807566024373937;0,697807573044507;-0,312811821856212;-0,988380048067788
"411";"10506";"Prunjepolder, Oosterschelde";493;96;5;-0,18138595734253;-5,07090334617304;0,213888889;0,0457484568376543;2;"2017_2018";"Oosterschelde";2,43187440190775;0,57329984214038;5,908433705;13,3584429236593;79;3;2;"M";"Adult";"1";1;"D";1;0,817727082039458;0,710874799069354;0,67598775163115;-0,988380048067788
"413";"10513";"Prunjepolder, Oosterschelde";479;98;3,900000095;NA;NA;0,216666667;0,0469444445888889;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;4,344258476;NA;79;3;1;"F";"Adult";"1";1;"D";1;0,858371283437723;0,763568615764556;-0,411691685268988;-0,988380048067788
"414";"10512";"Prunjepolder, Oosterschelde";520;100;6;-0,226699562263058;-5,27754760545922;0,218055556;0,0475482255024691;2;"2017_2018";"Oosterschelde";2,43187440190775;1,06827840322858;7,335806809;13,7842374610139;79;3;2;"M";"Adult";"0";0;"D";1;0,878693384136855;0,790170494213074;1,66478732511851;-0,988380048067788
"415";"10511";"Prunjepolder, Oosterschelde";596;103;4,900000095;-0,330585538276306;-4,86290838159922;0,21875;0,0478515625;2;"2017_2018";"Oosterschelde";2,43187440190775;1,17373931622778;6,029791767;15,1506410254921;79;3;2;"M";"Adult";"0";0;"D";1;0,888854427170465;0,803535166324694;0,577107888218374;-0,988380048067788
"416";"10510";"Prunjepolder, Oosterschelde";548;99;5,099999905;-0,340992137305002;-5,14012343547593;0,220138889;0,0484611304501543;2;"2017_2018";"Oosterschelde";2,43187440190775;1,19251588973501;11,34913874;11,7523305075334;79;3;2;"M";"Adult";"0";0;"D";1;0,909176527869597;0,830392014812937;0,774867615043927;-0,988380048067788
"417";"10484";"Prunjepolder, Oosterschelde";576;99;3,5;NA;NA;0,222222222;0,0493827159506173;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;16,7766559;NA;79;3;1;"F";"Adult";"1";1;"D";1;0,939659671602339;0,870995990380598;-0,807211608599893;-0,988380048067788
"419";"10454";"Prunjepolder, Oosterschelde";500;97;5,400000095;-0,109690865587656;-5,03783768822428;0,225694444;0,0509379820524691;2;"2017_2018";"Oosterschelde";2,43187440190775;0,961705849354124;9,624466549;18,2359392592099;79;3;1;"F";"Adult";"0";0;"D";1;0,990464916034214;0,939519189551028;1,07150767496206;-0,988380048067788
"420";"10449";"Prunjepolder, Oosterschelde";530;100;5,699999809;NA;NA;0,226388889;0,0512519290626543;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;7,303737792;NA;79;3;2;"M";"Adult";"0";0;"D";1;1,00062597369974;0,953351326368172;1,36814726421159;-0,988380048067788
"421";"10448";"Prunjepolder, Oosterschelde";512;96;4,099999905;NA;NA;0,227083333;0,0515668401263889;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;15,90461429;NA;79;3;1;"F";"Adult";"0";0;"D";1;1,01078701673335;0,967225938253277;-0,213931958443435;-0,988380048067788
"423";"10442";"Prunjepolder, Oosterschelde";529;98;5,099999905;NA;NA;0,231944444;0,0537982251024691;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;7,617780983;NA;79;3;2;"M";"Adult";"0";0;"D";1;1,08191436186435;1,06553814152177;0,774867615043927;-0,988380048067788
"424";"10444";"Prunjepolder, Oosterschelde";515;101;3,5;NA;NA;0,233333333;0,0544444442888889;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;17,83341656;NA;79;3;1;"F";"Adult";"0";0;"D";1;1,10223646256348;1,09400980046558;-0,807211608599893;-0,988380048067788
"508";"10810";"Schor Wilhelminapolder, Zeeland";556;104;3,5;-0,427515817768508;-5,07812996827515;0,214583333;0,0460460068013889;2;"2017_2018";"Oosterschelde";2,43187440190775;0,55417627856795;6,566992055;9,01371055502087;90;3;1;"F";"Adult";"1";1;"D";2;0,827888125073069;0,723984501263635;-0,807211608599893;1,00702872822001
"509";"10801";"Schor Wilhelminapolder, Zeeland";528;98;4,099999905;NA;NA;0,216666667;0,0469444445888889;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;4,51648545;NA;90;3;2;"M";"Adult";"0";0;"D";2;0,858371283437723;0,763568615764556;-0,213931958443435;1,00702872822001
"510";"10793";"Schor Wilhelminapolder, Zeeland";558;98;4,599999905;-0,132410693169;-5,34654715053319;0,217361111;0,0472458525751543;2;"2017_2018";"Oosterschelde";2,43187440190775;1,75842925026812;4,414392447;12,1140443506092;90;3;1;"F";"Adult";"1";1;"D";2;0,868532326471333;0,776848297903729;0,280467828300246;1,00702872822001
